epoch,train_loss,val_chamfer_distance,val_f_score
1,0.029052200672381064,0.013489564880728722,0.4422733545370469
2,0.014899313815084159,0.013388659446858443,0.43612803218797974
3,0.014578656220406877,0.012594625210532775,0.44536541189163226
4,0.014514925287050359,0.012275143454854306,0.474751552959115
5,0.014276455156505108,0.012527822481038479,0.48466863470783594
6,0.01417758114928124,0.012992520458423175,0.4391517150630641
7,0.014163902029395103,0.012646396357852679,0.46346143802770706
8,0.013980657190960996,0.012382708274974273,0.4674352400048425
9,0.013884780645443528,0.011958790047524067,0.4915070544726582
10,0.013870447125358908,0.012085289909289433,0.47261642337568566
11,0.013485740925021032,0.012005285144998478,0.4826911997652942
12,0.013970625495501593,0.012119815684854984,0.47462530851802653
13,0.013622766333248685,0.012000553238277253,0.49178760649074965
14,0.013518361739960372,0.012138660710591536,0.48871724115317405
15,0.013607783197407044,0.01203015812027913,0.4740752002969061
16,0.013827242386326486,0.012585268785747198,0.4549800644644568
17,0.013520435649244225,0.012246186522623667,0.4753323442855289
18,0.013621833376294258,0.011999440809281973,0.48416628730997613
19,0.013406824010113874,0.012142909045975942,0.47863006950979375
20,0.013481481411658666,0.012172260966438513,0.458771884565818
21,0.013231607080966818,0.011546512922415366,0.49011547727677446
22,0.01314427271740986,0.011746678644647965,0.49590314642201166
23,0.013168505676017673,0.011991489105499707,0.4761774992157139
24,0.013285968096598107,0.011585474444123415,0.4805262405018252
25,0.013235835385892321,0.01214340547672831,0.48516279286721986
26,0.012986211321101738,0.012267750022666795,0.4865350824835951
27,0.012746567300592478,0.012055184825190477,0.495472631352272
28,0.012584412864481028,0.011891017534903117,0.5034153228556889
29,0.012484707726308933,0.011712163819798402,0.501662427042832
30,0.012428686416779574,0.011668749153614044,0.5050228542094815
